time;P_pv_[kW]
2021-11-05 02:00:00+00:00;0.00215
2021-11-05 02:15:00+00:00;0.0027625
2021-11-05 02:30:00+00:00;0.0018425
2021-11-05 02:45:00+00:00;0.0018425
2021-11-05 03:00:00+00:00;0.0018425
2021-11-05 03:15:00+00:00;0.0018425
2021-11-05 03:30:00+00:00;0.00212
2021-11-05 03:45:00+00:00;0.002645
2021-11-05 04:00:00+00:00;0.0017
2021-11-05 04:15:00+00:00;0.0016175
2021-11-05 04:30:00+00:00;0.00151
2021-11-05 04:45:00+00:00;0.00137
2021-11-05 05:00:00+00:00;0.00117
2021-11-05 05:15:00+00:00;0.000875
2021-11-05 05:30:00+00:00;0.0005725
2021-11-05 05:45:00+00:00;0.0005725
2021-11-05 06:00:00+00:00;0.00086
2021-11-05 06:15:00+00:00;0.0012425
2021-11-05 06:30:00+00:00;0.00606
2021-11-05 06:45:00+00:00;0.011685
2021-11-05 07:00:00+00:00;0.021855
2021-11-05 07:15:00+00:00;0.0244525
2021-11-05 07:30:00+00:00;0.032025
2021-11-05 07:45:00+00:00;0.03722
2021-11-05 08:00:00+00:00;0.048905
2021-11-05 08:15:00+00:00;0.0471725
2021-11-05 08:30:00+00:00;0.0592925
2021-11-05 08:45:00+00:00;0.0592925
2021-11-05 09:00:00+00:00;0.0835125
2021-11-05 09:15:00+00:00;0.09048
2021-11-05 09:30:00+00:00;0.152
2021-11-05 09:45:00+00:00;0.23497
2021-11-05 10:00:00+00:00;0.1792975
2021-11-05 10:15:00+00:00;0.1925875
2021-11-05 10:30:00+00:00;0.1709275
2021-11-05 10:45:00+00:00;0.1522075
2021-11-05 11:00:00+00:00;0.207775
2021-11-05 11:15:00+00:00;0.1973175
2021-11-05 11:30:00+00:00;0.166565
2021-11-05 11:45:00+00:00;0.1449225
2021-11-05 12:00:00+00:00;0.1808475
2021-11-05 12:15:00+00:00;0.195585
2021-11-05 12:30:00+00:00;0.1522925
2021-11-05 12:45:00+00:00;0.15045
2021-11-05 13:00:00+00:00;0.1320275
2021-11-05 13:15:00+00:00;0.1222025
2021-11-05 13:30:00+00:00;0.1077725
2021-11-05 13:45:00+00:00;0.0868925
2021-11-05 14:00:00+00:00;0.0709275
2021-11-05 14:15:00+00:00;0.067855
2021-11-05 14:30:00+00:00;0.0770675
2021-11-05 14:45:00+00:00;0.081365
2021-11-05 15:00:00+00:00;0.08935
2021-11-05 15:15:00+00:00;0.05496
2021-11-05 15:30:00+00:00;0.0325475
2021-11-05 15:45:00+00:00;0.0147375
2021-11-05 16:00:00+00:00;0.004605
2021-11-05 16:15:00+00:00;0.000045
2021-11-05 16:30:00+00:00;0.000045
2021-11-05 16:45:00+00:00;0.000045
2021-11-05 17:00:00+00:00;0.0003875
2021-11-05 17:15:00+00:00;0.00094
2021-11-05 17:30:00+00:00;0.0010425
2021-11-05 17:45:00+00:00;0.0012475
2021-11-05 18:00:00+00:00;0.0013975
2021-11-05 18:15:00+00:00;0.001135
2021-11-05 18:30:00+00:00;0.0020075
2021-11-05 18:45:00+00:00;0.0021
2021-11-05 19:00:00+00:00;0.0012975
2021-11-05 19:15:00+00:00;0.0012975
2021-11-05 19:30:00+00:00;0.00224
2021-11-05 19:45:00+00:00;0.00277
2021-11-05 20:00:00+00:00;0.0014225
2021-11-05 20:15:00+00:00;0.001945
2021-11-05 20:30:00+00:00;0.0019875
2021-11-05 20:45:00+00:00;0.00152
2021-11-05 21:00:00+00:00;0.0018075
2021-11-05 21:15:00+00:00;0.0018375
2021-11-05 21:30:00+00:00;0.0018675
2021-11-05 21:45:00+00:00;0.00244
2021-11-05 22:00:00+00:00;0.001925
2021-11-05 22:15:00+00:00;0.0019525
2021-11-05 22:30:00+00:00;0.0022625
2021-11-05 22:45:00+00:00;0.0017175
2021-11-05 23:00:00+00:00;0.00261
2021-11-05 23:15:00+00:00;0.00147
2021-11-05 23:30:00+00:00;0.00238
2021-11-05 23:45:00+00:00;0.0018075
2021-11-06 00:00:00+00:00;0.00244
2021-11-06 00:15:00+00:00;0.0018425
2021-11-06 00:30:00+00:00;0.0018425
2021-11-06 00:45:00+00:00;0.0018425
2021-11-06 01:00:00+00:00;0.0024575
2021-11-06 01:15:00+00:00;0.0018425
2021-11-06 01:30:00+00:00;0.0027625
2021-11-06 01:45:00+00:00;0.0027625
2021-11-06 02:00:00+00:00;0.0027625
2021-11-06 02:15:00+00:00;0.00215
2021-11-06 02:30:00+00:00;0.0024575
2021-11-06 02:45:00+00:00;0.0018425
2021-11-06 03:00:00+00:00;0.0018425
2021-11-06 03:15:00+00:00;0.0018425
2021-11-06 03:30:00+00:00;0.00181
2021-11-06 03:45:00+00:00;0.0017575
2021-11-06 04:00:00+00:00;0.00141
2021-11-06 04:15:00+00:00;0.0013425
2021-11-06 04:30:00+00:00;0.0007525
2021-11-06 04:45:00+00:00;0.0011375
2021-11-06 05:00:00+00:00;0.0011675
2021-11-06 05:15:00+00:00;0.00088
2021-11-06 05:30:00+00:00;0.000765
2021-11-06 05:45:00+00:00;0.0005725
2021-11-06 06:00:00+00:00;0.000955
2021-11-06 06:15:00+00:00;0.0013375
2021-11-06 06:30:00+00:00;0.006275
2021-11-06 06:45:00+00:00;0.0088725
2021-11-06 07:00:00+00:00;0.0157975
2021-11-06 07:15:00+00:00;0.021855
2021-11-06 07:30:00+00:00;0.02705
2021-11-06 07:45:00+00:00;0.03354
2021-11-06 08:00:00+00:00;0.0469575
2021-11-06 08:15:00+00:00;0.056045
2021-11-06 08:30:00+00:00;0.063835
2021-11-06 08:45:00+00:00;0.09413
2021-11-06 09:00:00+00:00;0.1352775
2021-11-06 09:15:00+00:00;0.149595
2021-11-06 09:30:00+00:00;0.2073
2021-11-06 09:45:00+00:00;0.18189
2021-11-06 10:00:00+00:00;0.1847675
2021-11-06 10:15:00+00:00;0.198275
2021-11-06 10:30:00+00:00;0.2659525
2021-11-06 10:45:00+00:00;0.312725
2021-11-06 11:00:00+00:00;0.340555
2021-11-06 11:15:00+00:00;0.402305
2021-11-06 11:30:00+00:00;0.384505
2021-11-06 11:45:00+00:00;0.405295
2021-11-06 12:00:00+00:00;0.3890225
2021-11-06 12:15:00+00:00;0.376125
2021-11-06 12:30:00+00:00;0.346035
2021-11-06 12:45:00+00:00;0.3282275
2021-11-06 13:00:00+00:00;0.3055075
2021-11-06 13:15:00+00:00;0.3153325
2021-11-06 13:30:00+00:00;0.268355
2021-11-06 13:45:00+00:00;0.23028
2021-11-06 14:00:00+00:00;0.1381675
2021-11-06 14:15:00+00:00;0.1357125
2021-11-06 14:30:00+00:00;0.133255
2021-11-06 14:45:00+00:00;0.104395
2021-11-06 15:00:00+00:00;0.0681625
2021-11-06 15:15:00+00:00;0.0448275
2021-11-06 15:30:00+00:00;0.022415
2021-11-06 15:45:00+00:00;0.01136
2021-11-06 16:00:00+00:00;0.0000775
2021-11-06 16:15:00+00:00;0.0000475
2021-11-06 16:30:00+00:00;0.0000475
2021-11-06 16:45:00+00:00;0.0000475
2021-11-06 17:00:00+00:00;0.000435
