time;P_infl_load_[kW]
2021-11-04 06:15:00+00:00;38.72
2021-11-04 06:30:00+00:00;44.804
2021-11-04 06:45:00+00:00;42.136
2021-11-04 07:00:00+00:00;47.312
2021-11-04 07:15:00+00:00;37.496
2021-11-04 07:30:00+00:00;33.324
2021-11-04 07:45:00+00:00;35.272
2021-11-04 08:00:00+00:00;35.548
2021-11-04 08:15:00+00:00;38.112
2021-11-04 08:30:00+00:00;40.332
2021-11-04 08:45:00+00:00;35.14
2021-11-04 09:00:00+00:00;33.968
2021-11-04 09:15:00+00:00;37.424
2021-11-04 09:30:00+00:00;38.616
2021-11-04 09:45:00+00:00;32.848
2021-11-04 10:00:00+00:00;36.592
2021-11-04 10:15:00+00:00;32.292
2021-11-04 10:30:00+00:00;37.24
2021-11-04 10:45:00+00:00;35.14
2021-11-04 11:00:00+00:00;36.812
2021-11-04 11:15:00+00:00;39.392
2021-11-04 11:30:00+00:00;35.88
2021-11-04 11:45:00+00:00;40.292
2021-11-04 12:00:00+00:00;42.576
2021-11-04 12:15:00+00:00;38.812
2021-11-04 12:30:00+00:00;38.516
2021-11-04 12:45:00+00:00;45.316
2021-11-04 13:00:00+00:00;43.884
2021-11-04 13:15:00+00:00;40.108
2021-11-04 13:30:00+00:00;35.644
2021-11-04 13:45:00+00:00;32.612
2021-11-04 14:00:00+00:00;31.584
2021-11-04 14:15:00+00:00;32.688
2021-11-04 14:30:00+00:00;35.072
2021-11-04 14:45:00+00:00;36.62
2021-11-04 15:00:00+00:00;39.48
2021-11-04 15:15:00+00:00;49.728
2021-11-04 15:30:00+00:00;53.012
2021-11-04 15:45:00+00:00;49.948
2021-11-04 16:00:00+00:00;50.384
2021-11-04 16:15:00+00:00;49.576
2021-11-04 16:30:00+00:00;49.524
2021-11-04 16:45:00+00:00;50.732
2021-11-04 17:00:00+00:00;52.904
2021-11-04 17:15:00+00:00;51.224
2021-11-04 17:30:00+00:00;57.088
2021-11-04 17:45:00+00:00;55.34
2021-11-04 18:00:00+00:00;56.136
2021-11-04 18:15:00+00:00;55.484
2021-11-04 18:30:00+00:00;51.88
2021-11-04 18:45:00+00:00;51.852
2021-11-04 19:00:00+00:00;61.336
2021-11-04 19:15:00+00:00;66.976
2021-11-04 19:30:00+00:00;67.512
2021-11-04 19:45:00+00:00;59.508
2021-11-04 20:00:00+00:00;65.908
2021-11-04 20:15:00+00:00;65.928
2021-11-04 20:30:00+00:00;59.12
2021-11-04 20:45:00+00:00;65.132
2021-11-04 21:00:00+00:00;67.2
2021-11-04 21:15:00+00:00;65.356
2021-11-04 21:30:00+00:00;56.556
2021-11-04 21:45:00+00:00;45.368
2021-11-04 22:00:00+00:00;36.308
2021-11-04 22:15:00+00:00;35.872
2021-11-04 22:30:00+00:00;38.276
2021-11-04 22:45:00+00:00;38.536
2021-11-04 23:00:00+00:00;32.332
2021-11-04 23:15:00+00:00;32.316
2021-11-04 23:30:00+00:00;33.612
2021-11-04 23:45:00+00:00;27.8
2021-11-05 00:00:00+00:00;27.508
2021-11-05 00:15:00+00:00;24.976
2021-11-05 00:30:00+00:00;24.308
2021-11-05 00:45:00+00:00;31.852
2021-11-05 01:00:00+00:00;32.312
2021-11-05 01:15:00+00:00;29.38
2021-11-05 01:30:00+00:00;29.164
2021-11-05 01:45:00+00:00;31.516
2021-11-05 02:00:00+00:00;25.44
2021-11-05 02:15:00+00:00;22.584
2021-11-05 02:30:00+00:00;29.82
2021-11-05 02:45:00+00:00;32.952
2021-11-05 03:00:00+00:00;35.9
2021-11-05 03:15:00+00:00;33.456
2021-11-05 03:30:00+00:00;33.104
2021-11-05 03:45:00+00:00;26.848
2021-11-05 04:00:00+00:00;27.912
2021-11-05 04:15:00+00:00;29.096
2021-11-05 04:30:00+00:00;25.152
2021-11-05 04:45:00+00:00;28.096
2021-11-05 05:00:00+00:00;31.8
2021-11-05 05:15:00+00:00;34.132
2021-11-05 05:30:00+00:00;30.74
2021-11-05 05:45:00+00:00;33.88
2021-11-05 06:00:00+00:00;33.768
2021-11-05 06:15:00+00:00;38.596
2021-11-05 06:30:00+00:00;41.852
2021-11-05 06:45:00+00:00;41.692
2021-11-05 07:00:00+00:00;40.74
2021-11-05 07:15:00+00:00;39.1
2021-11-05 07:30:00+00:00;50.508
2021-11-05 07:45:00+00:00;55.484
2021-11-05 08:00:00+00:00;47.144
2021-11-05 08:15:00+00:00;46.18
2021-11-05 08:30:00+00:00;47.584
2021-11-05 08:45:00+00:00;48.352
2021-11-05 09:00:00+00:00;48.296
2021-11-05 09:15:00+00:00;39.868
2021-11-05 09:30:00+00:00;33.648
2021-11-05 09:45:00+00:00;32.428
2021-11-05 10:00:00+00:00;34.612
2021-11-05 10:15:00+00:00;36.82
2021-11-05 10:30:00+00:00;45.128
2021-11-05 10:45:00+00:00;44.104
2021-11-05 11:00:00+00:00;39.568
2021-11-05 11:15:00+00:00;44.328
2021-11-05 11:30:00+00:00;41.94
2021-11-05 11:45:00+00:00;35.472
2021-11-05 12:00:00+00:00;32.268
2021-11-05 12:15:00+00:00;28.9
2021-11-05 12:30:00+00:00;33.62
2021-11-05 12:45:00+00:00;32.252
2021-11-05 13:00:00+00:00;29.28
2021-11-05 13:15:00+00:00;42.024
2021-11-05 13:30:00+00:00;40.732
2021-11-05 13:45:00+00:00;43.324
2021-11-05 14:00:00+00:00;35.024
2021-11-05 14:15:00+00:00;35.028
2021-11-05 14:30:00+00:00;35.256
2021-11-05 14:45:00+00:00;34.192
2021-11-05 15:00:00+00:00;31.756
2021-11-05 15:15:00+00:00;29.188
2021-11-05 15:30:00+00:00;31.588
2021-11-05 15:45:00+00:00;35.048
2021-11-05 16:00:00+00:00;39.728
2021-11-05 16:15:00+00:00;39.24
2021-11-05 16:30:00+00:00;43.796
2021-11-05 16:45:00+00:00;42.448
2021-11-05 17:00:00+00:00;38.684
2021-11-05 17:15:00+00:00;42.988
2021-11-05 17:30:00+00:00;46.76
2021-11-05 17:45:00+00:00;52.148
2021-11-05 18:00:00+00:00;56.048
2021-11-05 18:15:00+00:00;60.888
2021-11-05 18:30:00+00:00;51.988
2021-11-05 18:45:00+00:00;52.788
2021-11-05 19:00:00+00:00;52.512
2021-11-05 19:15:00+00:00;50.616
2021-11-05 19:30:00+00:00;67.096
2021-11-05 19:45:00+00:00;69.276
2021-11-05 20:00:00+00:00;62.336
2021-11-05 20:15:00+00:00;57.292
2021-11-05 20:30:00+00:00;51.16
2021-11-05 20:45:00+00:00;51.624
2021-11-05 21:00:00+00:00;59.28
2021-11-05 21:15:00+00:00;55.888
2021-11-05 21:30:00+00:00;54.072
2021-11-05 21:45:00+00:00;54.884
2021-11-05 22:00:00+00:00;48.384
2021-11-05 22:15:00+00:00;44.136
2021-11-05 22:30:00+00:00;34.784
2021-11-05 22:45:00+00:00;35.12
2021-11-05 23:00:00+00:00;41.812
2021-11-05 23:15:00+00:00;44.952
2021-11-05 23:30:00+00:00;46.192
2021-11-05 23:45:00+00:00;41.976
2021-11-06 00:00:00+00:00;41.532
2021-11-06 00:15:00+00:00;42.5
2021-11-06 00:30:00+00:00;42.08
2021-11-06 00:45:00+00:00;45.756
